CompoundName,ModelID,EC50,LowerAsymptote,UpperAsymptote,Slope,MinimumDose,MaximumDose,DoseUnit
CIL55,ACH-000004,7.40721723177773,2.371280400262302e-5,1.0099999961939552,-9.380496745158064,3e-4,10,uM
CIL55,ACH-000007,475829124.89695925,0.5758762132486489,1.01,-0.4498986000756006,3e-4,10,uM
CIL55,ACH-000012,19.58027730294043,0,0.9662076848338148,-1.2883780096285011,3e-4,10,uM
CIL55,ACH-000013,10.921974622443354,0,1.01,-4.367713103411266,3e-4,10,uM
CIL55,ACH-000019,10.908673642879128,0.7676001214229027,1.009999999441555,-7.065552338617643,3e-4,10,uM
CIL55,ACH-000028,0.0032529804053134676,1.01,1.01,-0.05842950315009675,3e-4,10,uM
CIL55,ACH-000030,9.914337351469927,0.8888642012571641,1.0099999999710207,-12.59968484717621,3e-4,10,uM
CIL55,ACH-000035,12.304876816679315,0.036163758183221144,0.9391518637864444,-4.344021459820542,3e-4,10,uM
CIL55,ACH-000050,8.780656744440687,0,1.01,-8.378187978108953,3e-4,10,uM
CIL55,ACH-000058,4.0544333969588155,0.6162512746250249,1.01,-5.401591175741027,3e-4,10,uM
CIL55,ACH-000068,0.3679544045880583,1.01,1.01,-7.81368329139041e-4,3e-4,10,uM
CIL55,ACH-000074,5.540589984112882,0,0.98126825086338,-3.752793579558676,3e-4,10,uM
CIL55,ACH-000075,0.00624082970302778,0.9990208978993826,1.0099999998904408,-16.261330838268382,3e-4,10,uM
CIL55,ACH-000086,0.7980379234857631,1.0097210752536734,1.0099999995295297,-5.319754625727601,3e-4,10,uM
CIL55,ACH-000092,11.998388021288122,0,1.01,-1.440909443284505,3e-4,10,uM
CIL55,ACH-000093,6.185979149557428,0.07627041819280427,1.0093678077017398,-6.1165709423292896,3e-4,5,uM
CIL55,ACH-000094,41.76444221706106,0.25655540016801165,1.01,-1.385434914556401,3e-4,10,uM
CIL55,ACH-000097,3.460520352869448,0.7370756131610521,1.0077863718324327,-1.8376581029245,3e-4,5,uM
CIL55,ACH-000098,12.345954674584696,0.1219657359138527,1.009999993770985,-2.710840733750026,3e-4,10,uM
CIL55,ACH-000100,6.405553968665248,0,0.9432153530062248,-7.595891123944788,3e-4,10,uM
CIL55,ACH-000108,9.50274716184909,0,1.01,-1.482797911984853,3e-4,10,uM
CIL55,ACH-000114,10.392826734664009,0.04893577570632653,1.0099999993749988,-4.673581537371513,3e-4,10,uM
CIL55,ACH-000116,5.440613663688182,0.0017021550857359295,0.9233495288589404,-5.390006363069336,3e-4,5,uM
CIL55,ACH-000121,9.31006152684848,0,0.8989800425245964,-3.6017333343926157,3e-4,10,uM
CIL55,ACH-000122,5.161647131081972,0.26299634519492454,1.01,-7.633066781457573,3e-4,10,uM
CIL55,ACH-000136,3.9624898404997846,0.5002151984832177,0.9744477211659024,-4.023867439714925,3e-4,10,uM
CIL55,ACH-000138,0.006539444016059513,0.9148613629136622,1.009999994790131,-26.057380698368128,3e-4,10,uM
CIL55,ACH-000141,1.4788621308256368e-4,1.01,1.01,1e-5,3e-4,10,uM
CIL55,ACH-000142,7.156778127686585,0.1191535543647873,1.0099999982328038,-5.71022887680137,3e-4,10,uM
CIL55,ACH-000146,8.75463899405288,0,0.9697193238040224,-2.103151287975152,3e-4,10,uM
CIL55,ACH-000153,11.65507618408965,0,0.9080653437767408,-2.604918080931134,3e-4,10,uM
CIL55,ACH-000156,5.572026509241012,0,0.9528954354482508,-2.0370690384806593,3e-4,10,uM
CIL55,ACH-000167,7.989666893425383,0,0.9982016469082028,-3.6179806999296833,3e-4,10,uM
CIL55,ACH-000174,5.235070835385983,0.3215931433595392,1.01,-18.86694671180932,3e-4,10,uM
CIL55,ACH-000176,0.006424929676285582,0.7960379870566375,0.8981836721162236,-25.411715514966534,3e-4,10,uM
