RADIATION_OER_ZONES lambda_um=30 rim_n=43608 transition_n=35840 deep_n=3071 rim_po2_mmhg=11.2299 transition_po2_mmhg=0.1498 deep_po2_mmhg=0.0001
RADIATION_OER_SWEEP lambda_um=50 dose_gy=10 overall=0.911220 normoxic=0.984590 transition=0.839648 hypoxic=0.704656 radiation_kills=75193 total_tumor=82519
RADIATION_OER_SWEEP lambda_um=50 dose_gy=12 overall=0.944413 normoxic=0.996079 transition=0.896066 hypoxic=0.774992 radiation_kills=77932 total_tumor=82519
RADIATION_OER_SWEEP lambda_um=50 dose_gy=14 overall=0.965584 normoxic=0.998991 transition=0.934849 hypoxic=0.849886 radiation_kills=79679 total_tumor=82519
RADIATION_OER_SWEEP lambda_um=50 dose_gy=16 overall=0.978563 normoxic=0.999817 transition=0.959905 hypoxic=0.894497 radiation_kills=80750 total_tumor=82519
RADIATION_OER_SWEEP lambda_um=50 dose_gy=20 overall=0.992911 normoxic=0.999977 transition=0.987388 hypoxic=0.957017 radiation_kills=81934 total_tumor=82519
RADIATION_OER_SWEEP lambda_um=50 dose_gy=24 overall=0.997334 normoxic=1.000000 transition=0.995564 hypoxic=0.980137 radiation_kills=82299 total_tumor=82519
RADIATION_OER_SWEEP lambda_um=50 dose_gy=30 overall=0.999418 normoxic=1.000000 transition=0.999023 hypoxic=0.995767 radiation_kills=82471 total_tumor=82519
RADIATION_OER_SWEEP lambda_um=50 dose_gy=40 overall=0.999988 normoxic=1.000000 transition=1.000000 hypoxic=0.999674 radiation_kills=82518 total_tumor=82519
RADIATION_OER_SWEEP lambda_um=50 dose_gy=60 overall=1.000000 normoxic=1.000000 transition=1.000000 hypoxic=1.000000 radiation_kills=82519 total_tumor=82519
RADIATION_OER_SWEEP lambda_um=80 dose_gy=0 overall=0.000000 normoxic=0.000000 transition=0.000000 hypoxic=0.000000 radiation_kills=0 total_tumor=82519
RADIATION_OER_SWEEP lambda_um=80 dose_gy=0.5 overall=0.100946 normoxic=0.117203 transition=0.085296 hypoxic=0.052752 radiation_kills=8330 total_tumor=82519
RADIATION_OER_SWEEP lambda_um=80 dose_gy=1 overall=0.200318 normoxic=0.229683 transition=0.173242 hypoxic=0.099316 radiation_kills=16530 total_tumor=82519
RADIATION_OER_SWEEP lambda_um=80 dose_gy=1.5 overall=0.294672 normoxic=0.339066 transition=0.253711 hypoxic=0.142299 radiation_kills=24316 total_tumor=82519
RADIATION_OER_SWEEP lambda_um=80 dose_gy=2 overall=0.382809 normoxic=0.439461 transition=0.329353 hypoxic=0.202214 radiation_kills=31589 total_tumor=82519
RADIATION_OER_SWEEP lambda_um=80 dose_gy=2.5 overall=0.462269 normoxic=0.527954 transition=0.400837 hypoxic=0.246500 radiation_kills=38146 total_tumor=82519
RADIATION_OER_SWEEP lambda_um=80 dose_gy=3 overall=0.535634 normoxic=0.606013 transition=0.470954 hypoxic=0.291110 radiation_kills=44200 total_tumor=82519
RADIATION_OER_SWEEP lambda_um=80 dose_gy=4 overall=0.656794 normoxic=0.731884 transition=0.588895 hypoxic=0.382937 radiation_kills=54198 total_tumor=82519
