cancer_type,study_id,cancer_type_id,ACSL4_n,ACSL4_median_z,ACSL4_frac_low,ACSL4_frac_verylow,ACSL4_median_rsem,GPX4_n,GPX4_median_z,GPX4_frac_low,GPX4_frac_verylow,GPX4_median_rsem,SLC7A11_n,SLC7A11_median_z,SLC7A11_frac_low,SLC7A11_frac_verylow,SLC7A11_median_rsem,HMOX1_n,HMOX1_median_z,HMOX1_frac_low,HMOX1_frac_verylow,HMOX1_median_rsem,TP53_n,TP53_median_z,TP53_frac_low,TP53_frac_verylow,TP53_median_rsem,TFRC_n,TFRC_median_z,TFRC_frac_low,TFRC_frac_verylow,TFRC_median_rsem,KEAP1_n,KEAP1_median_z,KEAP1_frac_low,KEAP1_frac_verylow,KEAP1_median_rsem
lihc,lihc_tcga_pan_can_atlas_2018,hcc,366,0.2048,0.1776,0.0492,4597.17,366,-0.0486,0.1503,0.0164,7557.19,366,-0.0246,0.194,0.0191,64.5,366,0.0056,0.1475,0.0164,1202.85,366,0.1946,0.1284,0.0628,826.74,366,0.041,0.1585,0.0273,2072.24,366,0.0022,0.153,0.0137,2183.15
luad,luad_tcga_pan_can_atlas_2018,luad,510,0.04,0.1333,0.0333,1828.07,510,-0.067,0.1412,0.0235,3529.67,510,-0.0674,0.1745,0.0098,361.86,510,-0.028,0.1451,0.0275,1140.34,510,0.1799,0.1627,0.0608,1318.56,510,-0.0446,0.1314,0.0235,2445.49,510,0.057,0.0902,0.0314,1437.24
lusc,lusc_tcga_pan_can_atlas_2018,lusc,484,-0.0416,0.1384,0.0186,1382.48,484,-0.0357,0.1508,0.0165,2988.07,484,-0.0809,0.1963,0.0103,658.84,484,-0.0993,0.1446,0.0062,943.05,484,0.2385,0.2025,0.0248,1453.49,484,-0.0215,0.1612,0.0207,11744.35,484,-0.0568,0.1529,0.0124,2303.67
meso,meso_tcga_pan_can_atlas_2018,plmeso,87,0.0855,0.1379,0.0345,1847.26,87,-0.0191,0.1379,0.0115,3528.95,87,-0.1828,0.1609,0.0115,58.47,87,-0.1202,0.1379,0.0,1180.74,87,0.1611,0.1839,0.0345,2158.54,87,-0.0807,0.1379,0.0115,2822.45,87,-0.1045,0.1379,0.0115,2161.71
ov,ov_tcga_pan_can_atlas_2018,hgsoc,300,0.0741,0.1267,0.0333,1326.64,300,-0.0229,0.1433,0.0133,2509.49,300,-0.0278,0.15,0.0233,231.37,300,0.1064,0.15,0.04,684.51,300,0.3705,0.2733,0.0233,2515.18,300,-0.0246,0.1567,0.0267,3780.62,300,-0.0394,0.1533,0.0067,2058.42
paad,paad_tcga_pan_can_atlas_2018,paad,177,0.0067,0.1299,0.0452,1573.79,177,-0.0115,0.1695,0.0113,2968.48,177,-0.014,0.1186,0.0169,271.34,177,0.0511,0.1469,0.0395,701.91,177,0.1678,0.1525,0.0452,1013.11,177,0.0295,0.1356,0.0339,1989.95,177,-0.045,0.113,0.0113,1613.23
pcpg,pcpg_tcga_pan_can_atlas_2018,soft_tissue,178,0.0523,0.1461,0.0393,2364.8,178,-0.1535,0.1348,0.0056,4562.55,178,-0.0343,0.1629,0.0112,13.3,178,-0.159,0.1461,0.0056,718.47,178,0.068,0.1461,0.0112,513.21,178,0.0163,0.1629,0.0112,705.44,178,0.0149,0.1348,0.0337,1820.99
prad,prad_tcga_pan_can_atlas_2018,prad,493,0.1101,0.1582,0.0385,429.0,493,0.0035,0.146,0.0243,3594.5,493,0.0418,0.1602,0.0264,216.29,493,-0.0273,0.1744,0.0183,153.03,493,0.1651,0.0892,0.0507,1377.32,493,-0.0418,0.1379,0.0203,629.0,493,0.0208,0.1339,0.0162,2001.9
sarc,sarc_tcga_pan_can_atlas_2018,soft_tissue,253,-0.0047,0.1383,0.0395,1157.8,253,-0.0484,0.1621,0.0158,3924.27,253,-0.003,0.17,0.0198,65.28,253,-0.0616,0.166,0.0198,1215.73,253,0.3361,0.1739,0.0435,1095.6,253,-0.1328,0.1383,0.0198,1196.55,253,-0.0897,0.1265,0.0119,2380.99
skcm,skcm_tcga_pan_can_atlas_2018,skcm,443,0.1845,0.1196,0.0542,1255.67,443,-0.1309,0.1242,0.0135,2853.12,443,-0.0509,0.1648,0.0113,90.98,443,0.0034,0.1512,0.0158,1069.01,443,0.1682,0.1106,0.0587,1629.66,443,-0.0525,0.1332,0.0226,2356.12,443,0.0876,0.1558,0.0384,1654.55
stad,stad_tcga_pan_can_atlas_2018,stad,412,-0.0578,0.1117,0.0243,1774.89,412,-0.0451,0.1335,0.0146,1800.99,412,0.0379,0.1772,0.0243,394.84,412,0.022,0.165,0.0218,655.55,412,0.1583,0.1456,0.0607,1547.02,412,0.0819,0.1748,0.0194,4945.75,412,-0.0601,0.1481,0.0121,1327.57
tgct,tgct_tcga_pan_can_atlas_2018,testis,149,0.0745,0.1879,0.0201,1089.77,149,-0.0456,0.1477,0.0134,2600.57,149,0.0766,0.1879,0.0,118.64,149,-0.1565,0.1141,0.0336,1441.74,149,0.0884,0.1409,0.0268,1867.81,149,-0.0889,0.1812,0.0134,1863.26,149,0.3011,0.1946,0.0336,1127.54
thca,thca_tcga_pan_can_atlas_2018,thpa,498,-0.0221,0.1345,0.0321,1199.54,498,-0.0474,0.1245,0.0261,5220.39,498,-0.0839,0.1386,0.012,139.56,498,0.0191,0.1566,0.0201,545.12,498,-0.0392,0.1386,0.0261,1067.15,498,0.0703,0.1486,0.0321,837.01,498,-0.0092,0.1205,0.0221,1897.49
thym,thym_tcga_pan_can_atlas_2018,thym,119,0.0132,0.1176,0.0252,740.58,119,-0.0132,0.1008,0.0168,4431.37,119,-0.1191,0.1513,0.0,12.37,119,-0.0858,0.1261,0.0168,517.65,119,0.3093,0.1849,0.042,2489.66,119,-0.0843,0.0756,0.0084,839.74,119,-0.0004,0.1597,0.0336,1783.19
ucec,ucec_tcga_pan_can_atlas_2018,ucec,527,0.0122,0.167,0.0247,1395.18,527,0.0122,0.1613,0.0152,4836.96,527,-0.0285,0.148,0.0209,296.08,527,-0.05,0.1461,0.0152,500.35,527,0.2108,0.1025,0.0683,2912.38,527,0.0104,0.1499,0.0266,3496.88,527,-0.1693,0.1157,0.0057,1717.53
ucs,ucs_tcga_pan_can_atlas_2018,ucs,57,-0.0617,0.1579,0.0351,770.33,57,-0.0697,0.1754,0.0,3044.79,57,-0.2401,0.1404,0.0175,95.94,57,-0.1677,0.1053,0.0351,820.21,57,0.1935,0.1404,0.0702,2031.94,57,-0.0956,0.1579,0.0,2595.58,57,-0.1061,0.1053,0.0,2012.54
uvm,uvm_tcga_pan_can_atlas_2018,um,80,0.1426,0.1875,0.0125,363.23,80,-0.0447,0.1625,0.0,4195.78,80,-0.111,0.175,0.0,6.3,80,-0.0292,0.1875,0.0125,519.4,80,-0.0221,0.1375,0.0375,2220.82,80,0.0426,0.175,0.0375,516.39,80,-0.019,0.1375,0.025,1526.45
