# MeSH tree C04 (Neoplasms) descriptor -> tree number. One row per pair;
# a descriptor may sit at several nodes. Source: NLM MeSH SPARQL endpoint,
# https://id.nlm.nih.gov/mesh/sparql (inference on).
# Regenerate: python scripts/atlas_baseline.py --refresh-mesh
D003230	C04.588.364.235
D003390	C04.588.614.300
D003390	C04.588.614.596.240
D003397	C04.557.465.625.200
D003397	C04.557.580.625.200
D003528	C04.557.470.200.025.220
D003536	C04.557.470.200.025.480
D003536	C04.557.470.590.480
D003537	C04.557.470.035.320
D003537	C04.557.470.590.485
D003557	C04.557.450.795.650
D003560	C04.182
D003803	C04.182.089.530.690.310
D003884	C04.182.201
D003884	C04.557.465.910.250
D003969	C04.557.465.625.650.240.847
D003969	C04.557.470.200.025.370.847
D003969	C04.588.274.761.500.750
D003969	C04.588.322.475.500.750
D004067	C04.588.274
D004379	C04.588.274.476.411.445
D004387	C04.557.450.565.590.340.173
D004407	C04.557.465.330.300
D004416	C04.557.465.625.650.510.520.001
D004416	C04.557.665.560.260
D004416	C04.700.305
D004428	C04.588.443.665.312
D004701	C04.588.322
D004806	C04.557.465.625.600.380.290
D004806	C04.557.470.670.380.290
D004806	C04.557.580.625.600.380.290
D004814	C04.182.254
D004915	C04.557.337.539.275.325
D004919	C04.834.288
D004934	C04.182.281
D004938	C04.588.274.476.205
D004938	C04.588.443.353
D005097	C04.557.450.565.575.610.615.325
D005097	C04.700.330
D005134	C04.588.364
D005142	C04.588.443.392.500
D005153	C04.588.443.392
D005185	C04.588.945.418.365
D005266	C04.588.149.276
D005350	C04.557.450.565.590.340
D005354	C04.557.450.565.590.350
D005354	C04.557.450.795.350
D005497	C04.182.300
D005706	C04.588.274.120.401
D005729	C04.557.465.625.600.355
D005729	C04.557.470.670.355
D005729	C04.557.580.625.600.355
D005736	C04.557.470.035.215.100.500
D005736	C04.588.274.476.411.307.089.393
D005736	C04.700.100.392
D005770	C04.588.274.476
D005833	C04.588.945.418
D005834	C04.588.945.440
D005870	C04.557.450.565.380
D005887	C04.588.443.591.402
D005909	C04.557.465.625.600.380.080.335
D005909	C04.557.470.670.380.080.335
D005909	C04.557.580.625.600.380.080.335
D005910	C04.557.465.625.600.380
D005910	C04.557.470.670.380
D005910	C04.557.580.625.600.380
D005918	C04.557.645.350
D005925	C04.557.465.625.650.700.705.340
D005925	C04.557.580.625.650.700.705.340
D005935	C04.557.470.200.025.290.750
D005935	C04.588.274.761.500.249
D005935	C04.588.322.475.500.249
D006106	C04.557.475.750.656
D006106	C04.588.322.455.398
D006222	C04.445
D006223	C04.445.435
D006223	C04.651.435
D006223	C04.700.435
D006258	C04.588.443
D006338	C04.588.894.309
D006390	C04.557.645.375.370
D006391	C04.557.645.375
D006392	C04.557.645.375.385
D006393	C04.557.645.380
D006394	C04.557.450.795.390
D006394	C04.557.645.390
D006528	C04.557.470.200.025.255
D006528	C04.588.274.623.160
D006607	C04.557.470.035.175
D006607	C04.557.470.550.175
D006689	C04.557.386.355
D006828	C04.557.465.955.416.812
D006828	C04.850.908.416.750
D007012	C04.588.443.665.710.485
D007029	C04.588.614.250.195.885.500
D007078	C04.588.274.476.411.501
D007161	C04.557.386.390
D007340	C04.557.470.035.100.852
D007340	C04.588.274.761.249.500
D007340	C04.588.322.475.249.500
D007414	C04.588.274.476.411
D007516	C04.557.470.035.100
D007516	C04.588.274.761.249
D007516	C04.588.322.475.249
D007570	C04.182.089.530
D007573	C04.588.149.721.450
D007580	C04.588.274.476.411.523
D007680	C04.588.945.947.535
D007725	C04.557.470.200.025.415.410
D007725	C04.557.470.590.415.410
D007822	C04.588.443.665.481
D007889	C04.557.450.590.450
D007890	C04.557.450.590.455
D007890	C04.557.450.795.455
D007938	C04.557.337
D007939	C04.557.337.372.594
D007939	C04.619.531.594
D007940	C04.557.337.372.602
D007940	C04.619.531.602
D007941	C04.557.337.372.782
D007941	C04.619.531.782
D007942	C04.557.337.372
D007942	C04.619.531
D007943	C04.557.337.415
D007945	C04.557.337.428
D007946	C04.557.337.440
D007946	C04.557.337.539.275.440
D007947	C04.557.337.539.275.450
D007948	C04.557.337.539.275.484
D007951	C04.557.337.539
D007952	C04.557.337.595
D007952	C04.557.595.500.500
D007953	C04.557.337.650
D007953	C04.682.512
D007971	C04.834.512
D007972	C04.588.443.591.545
D007972	C04.834.512.513
D007984	C04.557.475.750.847.249
D007984	C04.588.322.762.500.249
D007984	C04.588.945.440.915.500.249
D008039	C04.557.470.200.025.095.410
D008048	C04.588.443.591.550
D008067	C04.557.450.550.400
D008080	C04.557.450.550.420
D008080	C04.557.450.795.465
D008113	C04.588.274.623
D008114	C04.588.274.623.460
D008114	C04.619.540
D008175	C04.588.894.797.520
D008202	C04.557.375.450
D008203	C04.557.375.460
D008204	C04.557.375.480
