drug_a,drug_b,rate_a,rate_b,rate_combo,bliss_prediction,synergy_score,ci_low,ci_high,n_dead,n_cells,mean_gpx4_final,mean_fsp1_final,mean_gsh_final,mean_lp_final
RSL3,SDT,0.4,1.0,1.0,0.9999999999999999,1.0000000000000002,0.9961731014136095,1.0,1000,1000,0.017911662557236124,0.1504637008284555,0.02842501335373851,10.620590929391112
RSL3,FSP1i,0.4,0.037,0.841,0.4222,1.99194694457603,0.817035989537914,0.8623540656261677,841,1000,0.4004870965587236,0.02256955512426833,2.1816269225147553,8.714699986222199
RSL3,HDACi,0.4,0.572,0.928,0.7432,1.248654467168999,0.9102878591617453,0.9424363156483045,928,1000,0.37435800066945946,0.1504637008284555,0.8086381266160196,9.659473524930752
SDT,FSP1i,1.0,0.037,1.0,0.9999999999999999,1.0000000000000002,0.9961731014136095,1.0,1000,1000,0.579522913087862,0.02256955512426833,0.02806343838704458,10.744428857428316
SDT,HDACi,1.0,0.572,1.0,1.0,1.0,0.9961731014136095,1.0,1000,1000,0.5627275279193122,0.1504637008284555,0.026542749514525527,10.587694508802771
FSP1i,HDACi,0.037,0.572,0.714,0.587836,1.2146244871018446,0.6852143011615499,0.741147786243475,714,1000,0.7009961273532762,0.02256955512426833,0.36986360546563335,8.039895085246217
